filename,source_path,baseline_image_path,width,height,mode,channels,file_size_mb
apollo17_001.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_001.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_001.png,2340,2340,RGB,3,9.145
apollo17_002.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_002.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_002.png,2340,2340,RGB,3,9.063
apollo17_003.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_003.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_003.png,2340,2340,RGB,3,8.093
apollo17_004.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_004.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_004.png,2340,2340,RGB,3,8.225
apollo17_005.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_005.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_005.png,2340,2340,RGB,3,4.565
apollo17_006.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_006.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_006.png,2340,2340,RGB,3,5.548
apollo17_007.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_007.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_007.png,2340,2340,RGB,3,5.209
apollo17_008.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_008.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_008.png,2340,2340,RGB,3,4.706
apollo17_009.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_009.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_009.png,2340,2340,RGB,3,5.227
apollo17_010.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_010.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_010.png,2340,2340,RGB,3,5.518
apollo17_011.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_011.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_011.png,2340,2340,RGB,3,5.17
apollo17_012.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_012.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_012.png,2340,2340,RGB,3,5.877
apollo17_013.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_013.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_013.png,2340,2340,RGB,3,5.916
apollo17_014.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_014.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_014.png,2340,2340,RGB,3,5.524
apollo17_015.png,/home/twilightpriest/GitHub/ApolloSplat-Py/data/processed/apollo17_resized/apollo17_015.png,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/images/apollo17_015.png,2340,2340,RGB,3,5.621
